"","m","K.i","vartheta","varkappa.v","varkappa.u"
"1",1,1,1,0.594869292914335,0.429466662369152
"2",1,2,1,0.187162216345543,0.170565672857391
"3",1,3,1,0.102817454228468,0.0983714863582478
"4",1,4,1,0.0680152351928139,0.0661277738557607
"5",1,5,1,0.049252638966859,0.0483717433398186
"6",2,1,1,0.636012212735107,0.467665839540771
"7",2,2,1,0.199347880223255,0.187744665641088
"8",2,3,1,0.110167907863387,0.107234257087289
"9",2,4,1,0.0725439811893441,0.0717484786029278
"10",2,5,1,0.0527455800952572,0.0522352711343158
"11",3,1,1,0.350729975076272,0.243186051606125
"12",3,2,1,0.110032047149002,0.100453796041626
"13",3,3,1,0.0605493895643147,0.0582363193464918
"14",3,4,1,0.0401300450440103,0.0392062707354158
"15",3,5,1,0.0291358206363128,0.0286486250513125
"16",4,1,1,0.59540957316617,0.430327912396023
"17",4,2,1,0.0016696399041657,0.00167265078833101
"18",4,3,1,0.000597259891278733,0.000597459515958653
"19",4,4,1,0.000326256179280265,0.000326678507914773
"20",4,5,1,0.000212457418677066,0.000212493554975824
"21",5,1,1,0.636100138374728,0.465678123507892
"22",5,2,1,0.0761683516620006,0.0748750336981911
"23",5,3,1,0.0463653793027381,0.0458804964291941
"24",5,4,1,0.0343865402105276,0.0343840672416253
"25",5,5,1,0.0278358677249172,0.0276885130421912
"26",6,1,1,0.35047016349309,0.243541789648928
"27",6,2,1,0.041983941114892,0.0410489142192588
"28",6,3,1,0.0255555129549737,0.0251967017541358
"29",6,4,1,0.018993965215656,0.0187855413962819
"30",6,5,1,0.0153449458301618,0.0153417666206695
"31",7,1,1,0.309878430004254,0.267780400946121
"32",7,2,1,0.309218308253702,0.26746080479751
"33",7,3,1,0.310503887554994,0.267518997998205
"34",7,4,1,0.311218631131591,0.267271502065497
"35",7,5,1,0.308876666607413,0.266470922690545
"36",8,1,1,0.329178173979994,0.293883152907915
"37",8,2,1,0.33138183675903,0.29490694773374
"38",8,3,1,0.330820306082764,0.294370711833827
"39",8,4,1,0.331080208639991,0.295430702674008
"40",8,5,1,0.331715874417614,0.294572572004011
"41",9,1,1,0.183055845880013,0.156073859258582
"42",9,2,1,0.182940620934324,0.155485373119279
"43",9,3,1,0.182596459376775,0.156219469538117
"44",9,4,1,0.182604220119989,0.155601202635949
"45",9,5,1,0.182110080654665,0.156364992076361
"46",10,1,1,0.0904891368578854,0.0872308343499121
"47",10,2,1,0.0903128608807189,0.0877314072730027
"48",10,3,1,0.0900167957669394,0.0869395585805113
"49",10,4,1,0.0896532808133717,0.0873817117560026
"50",10,5,1,0.0902873302560626,0.086896258253209
"51",11,1,1,0.0960272985738489,0.0941523833696382
"52",11,2,1,0.0964930125626272,0.0940240289974264
"53",11,3,1,0.0962980934625743,0.0945843082964656
"54",11,4,1,0.0964993723036294,0.0940423539239285
"55",11,5,1,0.0960806949925875,0.0940252325770135
"56",12,1,1,0.0530857398067199,0.0513999384058179
"57",12,2,1,0.0530057286099982,0.0513688222252268
"58",12,3,1,0.0530846408247113,0.0515974346683706
"59",12,4,1,0.0530261071657479,0.0514333697109934
"60",12,5,1,0.0530889697471185,0.0513295304002675
"61",13,1,1,0.0899390438272712,0.0751144093343483
"62",13,2,1,0.0901016948713076,0.0750574080080558
"63",13,3,1,0.0895769434246391,0.0751426441789067
"64",13,4,1,0.0902173985737111,0.0752244953284309
"65",13,5,1,0.0900591608776565,0.0750167206760129
"66",14,1,1,0.0964853154539035,0.080330560041481
"67",14,2,1,0.0954116230840501,0.0803540504929394
"68",14,3,1,0.0965105131290358,0.0803516815077798
"69",14,4,1,0.0961321858392024,0.0800991955288716
"70",14,5,1,0.0962306283282976,0.0801635468195539
"71",15,1,1,0.0532103615563675,0.0442923618440903
"72",15,2,1,0.053037173041115,0.0441135768815595
"73",15,3,1,0.053128621528141,0.0441897539421387
"74",15,4,1,0.0530151674612133,0.0443581196685821
"75",15,5,1,0.0531059127249978,0.0443585640214152
